First Asset Core Canadian Equity ETF | CED | Volume: 0 | Value: 22.20 | Open: N/A | High: N/A | SharesOut.: 599999 | Beta: 1.013 | Prev.Close: 22.20 | Low: N/A | MarketCap: 13319978 | VWAP: N/A | Dividend: 0.117CAD | Div.Frequency: Quarterly | P/ERatio: 13.800 | EPS: N/A | Yield: 2.039 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.800 | Exchange: TSX | 
First Asset Core Canadian Equity Income Class ETF | CSY | Volume: 0 | Value: 21.37 | Open: N/A | High: N/A | SharesOut.: 1046954 | Beta: 0.956 | Prev.Close: 21.37 | Low: N/A | MarketCap: 22373407 | VWAP: N/A | Dividend: 0.270CAD | Div.Frequency: Quarterly | P/ERatio: 13.700 | EPS: N/A | Yield: 4.908 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.750 | Exchange: TSX | 
First Asset Core U.S. Equity ETF | CES | Volume: 0 | Value: 24.29 | Open: N/A | High: N/A | SharesOut.: 229983 | Beta: 0.757 | Prev.Close: 24.29 | Low: N/A | MarketCap: 5586287 | VWAP: N/A | Dividend: 0.059CAD | Div.Frequency: Quarterly | P/ERatio: 15.200 | EPS: N/A | Yield: 0.992 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.370 | Exchange: TSX | 
First Asset Diversified Convertible Debenture Fund | DCD.UN | Volume: 1300 | Value: 13.66 | Open: 13.66 | High: 13.66 | SharesOut.: 2159085 | Beta: 0.456 | Prev.Close: 13.65 | Low: 13.66 | MarketCap: 29493101 | VWAP: 13.66 | Dividend: 0.220CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 1.580000 | Yield: 6.442 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Energy Giants Covered Call ETF | NXF | Volume: 6189 | Value: 8.50 | Open: 8.58 | High: 8.58 | SharesOut.: 2527939 | Beta: 1.649 | Prev.Close: 8.39 | Low: 8.47 | MarketCap: 21487482 | VWAP: 8.528689 | Dividend: 0.153CAD | Div.Frequency: Quarterly | P/ERatio: 24.400 | EPS: N/A | Yield: 6.068 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.630 | Exchange: TSX | 
First Asset Enhanced Short Duration Bond ETF | FSB | Volume: 24569 | Value: 9.87 | Open: 9.88 | High: 9.88 | SharesOut.: 27650000 | Beta: 0.025 | Prev.Close: 9.88 | Low: 9.86 | MarketCap: 272905500 | VWAP: 9.878074 | Dividend: 0.020CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.918 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset European Bank ETF | FHB | Volume: 66 | Value: 8.85 | Open: 0.00 | High: 0.00 | SharesOut.: 4299583 | Beta: 0.724 | Prev.Close: 8.85 | Low: 0.00 | MarketCap: 38051310 | VWAP: N/A | Dividend: 0.064CAD | Div.Frequency: Quarterly | P/ERatio: 11.500 | EPS: N/A | Yield: 2.261 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.090 | Exchange: TSX | 
First Asset Global Financial Sector ETF | FSF | Volume: 0 | Value: 20.59 | Open: N/A | High: N/A | SharesOut.: 2841952 | Beta: 1.339 | Prev.Close: 20.59 | Low: N/A | MarketCap: 58515792 | VWAP: N/A | Dividend: 0.094CAD | Div.Frequency: Quarterly | P/ERatio: 12.400 | EPS: N/A | Yield: 1.370 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.430 | Exchange: TSX | 
First Asset Health Care Giants Covered Call ETF | FHI | Volume: 0 | Value: 10.00 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: N/A | Prev.Close: 10.00 | Low: N/A | MarketCap: 1000000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
First Asset Investment Grade Bond ETF | FIG | Volume: 13105 | Value: 10.89 | Open: 10.89 | High: 10.90 | SharesOut.: 50466788 | Beta: 0.242 | Prev.Close: 10.89 | Low: 10.89 | MarketCap: 549583321 | VWAP: 10.896 | Dividend: 0.032CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.967 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Long Duration Fixed Income ETF | FLB | Volume: 0 | Value: 19.30 | Open: N/A | High: N/A | SharesOut.: 2750000 | Beta: -0.037 | Prev.Close: 19.30 | Low: N/A | MarketCap: 53075000 | VWAP: N/A | Dividend: 0.044CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.754 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Morningstar Canada Dividend Target 30 Index ETF | DXM | Volume: 2009 | Value: 10.25 | Open: 10.25 | High: 10.25 | SharesOut.: 1930219 | Beta: 1.044 | Prev.Close: 10.26 | Low: 10.25 | MarketCap: 19784745 | VWAP: 10.25 | Dividend: 0.106CAD | Div.Frequency: Quarterly | P/ERatio: 16.400 | EPS: N/A | Yield: 3.911 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.820 | Exchange: TSX | 
First Asset Morningstar Canada Momentum Index ETF | WXM | Volume: 14136 | Value: 18.87 | Open: 18.93 | High: 18.97 | SharesOut.: 15349315 | Beta: 0.863 | Prev.Close: 18.86 | Low: 18.84 | MarketCap: 289641574 | VWAP: 18.8995 | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: 15.700 | EPS: N/A | Yield: 1.009 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.110 | Exchange: TSX | 
First Asset Morningstar Canada Value Index ETF | FXM | Volume: 5169 | Value: 15.18 | Open: 15.29 | High: 15.29 | SharesOut.: 8738640 | Beta: 1.070 | Prev.Close: 15.25 | Low: 15.16 | MarketCap: 132652555 | VWAP: 15.184167 | Dividend: 0.077CAD | Div.Frequency: Quarterly | P/ERatio: 11.800 | EPS: N/A | Yield: 1.887 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.260 | Exchange: TSX | 
First Asset Morningstar International Momentum Index ETF | ZXM | Volume: 19183 | Value: 29.69 | Open: 29.80 | High: 29.80 | SharesOut.: 2023902 | Beta: 0.771 | Prev.Close: 29.66 | Low: 29.68 | MarketCap: 60089650 | VWAP: 29.696263 | Dividend: 0.099CAD | Div.Frequency: Quarterly | P/ERatio: 15.500 | EPS: N/A | Yield: 0.927 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.780 | Exchange: TSX | 
First Asset Morningstar International Value Index ETF | VXM | Volume: 15569 | Value: 25.51 | Open: 25.69 | High: 25.70 | SharesOut.: 3083952 | Beta: 1.193 | Prev.Close: 25.67 | Low: 25.51 | MarketCap: 78671616 | VWAP: 25.666839 | Dividend: 0.127CAD | Div.Frequency: Quarterly | P/ERatio: 9.800 | EPS: N/A | Yield: 1.590 | Ex-DivDate: 06/22/2018 | P/BRatio: 0.940 | Exchange: TSX | 
First Asset Morningstar National Bank Quebec Index ETF | QXM | Volume: 1032 | Value: 20.62 | Open: 20.77 | High: 20.77 | SharesOut.: 3623791 | Beta: 0.650 | Prev.Close: 20.76 | Low: 20.62 | MarketCap: 74722570 | VWAP: 20.73625 | Dividend: 0.075CAD | Div.Frequency: Quarterly | P/ERatio: 13.300 | EPS: N/A | Yield: 1.040 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.000 | Exchange: TSX | 
First Asset Morningstar U.S. Consumer Defensive Index Fund | UCD.UN | Volume: 3300 | Value: 8.55 | Open: 8.54 | High: 8.55 | SharesOut.: 1017129 | Beta: 0.332 | Prev.Close: 8.43 | Low: 8.54 | MarketCap: 8696453 | VWAP: 8.549091 | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.060000 | Yield: 7.551 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Morningstar US Dividend Target 50 Index ETF | UXM | Volume: 10814 | Value: 14.42 | Open: 14.52 | High: 14.55 | SharesOut.: 3524356 | Beta: 0.742 | Prev.Close: 14.54 | Low: 14.42 | MarketCap: 50821214 | VWAP: 14.458704 | Dividend: 0.103CAD | Div.Frequency: Quarterly | P/ERatio: 16.900 | EPS: N/A | Yield: 2.716 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.070 | Exchange: TSX | 
First Asset Morningstar US Momentum Index ETF | YXM | Volume: 300 | Value: 15.01 | Open: 15.03 | High: 15.03 | SharesOut.: 2087816 | Beta: 0.736 | Prev.Close: 15.16 | Low: 15.01 | MarketCap: 31338118 | VWAP: 15.023333 | Dividend: 0.370CAD | Div.Frequency: Quarterly | P/ERatio: 18.900 | EPS: N/A | Yield: 5.383 | Ex-DivDate: 12/29/2017 | P/BRatio: 6.860 | Exchange: TSX | 
First Asset Morningstar US Value Index ETF | XXM | Volume: 17016 | Value: 13.30 | Open: 13.43 | High: 13.44 | SharesOut.: 3156368 | Beta: 1.279 | Prev.Close: 13.50 | Low: 13.29 | MarketCap: 41979694 | VWAP: 13.340235 | Dividend: 0.039CAD | Div.Frequency: Quarterly | P/ERatio: 8.600 | EPS: N/A | Yield: 1.068 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.150 | Exchange: TSX | 
First Asset MSCI Canada Low Risk Weighted ETF | RWC | Volume: 0 | Value: 12.04 | Open: N/A | High: N/A | SharesOut.: 704994 | Beta: 0.730 | Prev.Close: 12.04 | Low: N/A | MarketCap: 8488128 | VWAP: N/A | Dividend: 0.083CAD | Div.Frequency: Quarterly | P/ERatio: 15.800 | EPS: N/A | Yield: 2.568 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.800 | Exchange: TSX | 
First Asset MSCI Canada Quality Index Class ETF | FQC | Volume: 0 | Value: 24.08 | Open: N/A | High: N/A | SharesOut.: 420545 | Beta: 1.089 | Prev.Close: 24.08 | Low: N/A | MarketCap: 10126724 | VWAP: N/A | Dividend: 0.106CAD | Div.Frequency: Quarterly | P/ERatio: 14.900 | EPS: -0.770000 | Yield: 1.631 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.470 | Exchange: TSX | 
First Asset MSCI Europe Low Risk Weighted ETF | RWE | Volume: 0 | Value: 26.24 | Open: N/A | High: N/A | SharesOut.: 2174820 | Beta: 0.473 | Prev.Close: 26.24 | Low: N/A | MarketCap: 57067277 | VWAP: N/A | Dividend: 0.141CAD | Div.Frequency: Quarterly | P/ERatio: 15.300 | EPS: N/A | Yield: 2.010 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.120 | Exchange: TSX | 
First Asset MSCI International Low Risk Weighted ETF | RWX | Volume: 1000 | Value: 20.50 | Open: 20.50 | High: 20.50 | SharesOut.: 250000 | Beta: 0.498 | Prev.Close: 20.25 | Low: 20.50 | MarketCap: 5125000 | VWAP: 20.50 | Dividend: 0.124CAD | Div.Frequency: Quarterly | P/ERatio: 14.000 | EPS: N/A | Yield: 2.191 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.700 | Exchange: TSX | 
First Asset MSCI USA Low Risk Weighted ETF | RWU | Volume: 0 | Value: 14.93 | Open: N/A | High: N/A | SharesOut.: 500165 | Beta: 0.487 | Prev.Close: 14.93 | Low: N/A | MarketCap: 7467463 | VWAP: N/A | Dividend: 0.055CAD | Div.Frequency: Quarterly | P/ERatio: 19.700 | EPS: N/A | Yield: 1.305 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.720 | Exchange: TSX | 
First Asset MSCI World Low Risk Weighted ETF | RWW | Volume: 5900 | Value: 27.77 | Open: 27.74 | High: 27.77 | SharesOut.: 2206969 | Beta: 0.386 | Prev.Close: 27.89 | Low: 27.74 | MarketCap: 61287529 | VWAP: 27.767966 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 16.500 | EPS: N/A | Yield: 1.921 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.160 | Exchange: TSX | 
First Asset North American Convertibles Fund | NCD.UN | Volume: 0 | Value: 7.10 | Open: N/A | High: N/A | SharesOut.: 1608625 | Beta: 0.549 | Prev.Close: 7.10 | Low: N/A | MarketCap: 11421238 | VWAP: N/A | Dividend: 0.125CAD | Div.Frequency: Quarterly | P/ERatio: 16.900 | EPS: 0.590000 | Yield: 7.042 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.958 | Exchange: TSX | 
