BMO Low Volatility International Equity Hedged to CAD ETF | ZLD | Volume: 1663 | Value: 23.51 | Open: 23.70 | High: 23.72 | SharesOut.: 1773000 | Beta: 0.272 | Prev.Close: 23.70 | Low: 23.51 | MarketCap: 41683230 | VWAP: 23.622667 | Dividend: 0.125CAD | Div.Frequency: Quarterly | P/ERatio: 17.500 | EPS: N/A | Yield: 2.276 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.150 | Exchange: TSX | 
BMO Low Volatility US Equity ETF | ZLU | Volume: 17260 | Value: 32.51 | Open: 32.44 | High: 32.55 | SharesOut.: 21705000 | Beta: 0.012 | Prev.Close: 32.67 | Low: 32.35 | MarketCap: 705629550 | VWAP: 32.473846 | Dividend: 0.140CAD | Div.Frequency: Quarterly | P/ERatio: 19.700 | EPS: N/A | Yield: 1.464 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.680 | Exchange: TSX | 
BMO Low Volatility US Equity Hedged to CAD ETF | ZLH | Volume: 2030 | Value: 23.01 | Open: 23.33 | High: 23.33 | SharesOut.: 1701000 | Beta: 0.356 | Prev.Close: 23.24 | Low: 23.01 | MarketCap: 39140010 | VWAP: 23.0965 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 19.600 | EPS: N/A | Yield: 1.530 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.670 | Exchange: TSX | 
BMO Mid Corporate Bond Index ETF | ZCM | Volume: 13630 | Value: 16.00 | Open: 16.01 | High: 16.02 | SharesOut.: 76102490 | Beta: 0.127 | Prev.Close: 16.03 | Low: 15.98 | MarketCap: 1217639840 | VWAP: 15.993106 | Dividend: 0.041CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.075 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Mid Federal Bond Index ETF | ZFM | Volume: 2526 | Value: 16.00 | Open: 16.00 | High: 16.00 | SharesOut.: 33516959 | Beta: -0.026 | Prev.Close: 15.99 | Low: 15.97 | MarketCap: 536271344 | VWAP: 15.995217 | Dividend: 0.027CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.025 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Mid Provincial Bond Index ETF | ZMP | Volume: 4022 | Value: 14.79 | Open: 14.77 | High: 14.79 | SharesOut.: 41410967 | Beta: 0.016 | Prev.Close: 14.78 | Low: 14.77 | MarketCap: 612468202 | VWAP: 14.780769 | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.799 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF | ZMU | Volume: 29689 | Value: 14.23 | Open: 14.17 | High: 14.24 | SharesOut.: 24348985 | Beta: 0.125 | Prev.Close: 14.22 | Low: 14.17 | MarketCap: 346486057 | VWAP: 14.215743 | Dividend: 0.041CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.191 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Mid-Term US IG Corporate Bond Index ETF | ZIC | Volume: 9095 | Value: 18.32 | Open: 18.21 | High: 18.32 | SharesOut.: 77458733 | Beta: -0.222 | Prev.Close: 18.27 | Low: 18.19 | MarketCap: 1419043989 | VWAP: 18.201444 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.983 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Monthly Income ETF | ZMI | Volume: 14781 | Value: 15.98 | Open: 16.05 | High: 16.05 | SharesOut.: 6426000 | Beta: 0.406 | Prev.Close: 16.04 | Low: 15.98 | MarketCap: 102687480 | VWAP: 16.003931 | Dividend: 0.060CAD | Div.Frequency: Monthly | P/ERatio: 13.900 | EPS: N/A | Yield: 4.043 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.680 | Exchange: TSX | 
BMO MSCI All Country World High Quality Index ETF | ZGQ | Volume: 7990 | Value: 31.24 | Open: 31.61 | High: 31.61 | SharesOut.: 3015000 | Beta: 0.452 | Prev.Close: 31.45 | Low: 31.14 | MarketCap: 94188600 | VWAP: 31.197975 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: 23.300 | EPS: N/A | Yield: 0.917 | Ex-DivDate: 06/27/2018 | P/BRatio: 5.810 | Exchange: TSX | 
