AirBoss of America Corp. | BOS | Volume: 6249 | Value: 15.32 | Open: 15.26 | High: 15.42 | SharesOut.: 23418182 | Beta: -0.079 | Prev.Close: 15.26 | Low: 15.25 | MarketCap: 358766548 | VWAP: 15.345574 | Dividend: 0.070CAD | Div.Frequency: Quarterly | P/ERatio: 20.900 | EPS: 0.710000 | Yield: 1.828 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.246 | Exchange: TSX | 
Bloom Select Income Fund | BLB.UN | Volume: 0 | Value: 9.73 | Open: N/A | High: N/A | SharesOut.: 1984603 | Beta: 0.946 | Prev.Close: 9.73 | Low: N/A | MarketCap: 19310187 | VWAP: N/A | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.410000 | Yield: 5.139 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Bloom U.S. Income & Growth Fund | BUA.UN | Volume: 6600 | Value: 8.11 | Open: 8.11 | High: 8.11 | SharesOut.: 1461911 | Beta: 0.811 | Prev.Close: 8.06 | Low: 8.11 | MarketCap: 11856098 | VWAP: 8.11 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.220000 | Yield: 7.398 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Blue Ribbon Income Fund | RBN.UN | Volume: 28098 | Value: 8.94 | Open: 9.00 | High: 9.01 | SharesOut.: 16626864 | Beta: 0.991 | Prev.Close: 8.95 | Low: 8.93 | MarketCap: 148644164 | VWAP: 8.985250 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 37.300 | EPS: 1.030000 | Yield: 6.711 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.909 | Exchange: TSX | 
BMO Aggregate Bond Index ETF | ZAG | Volume: 35912 | Value: 15.47 | Open: 15.47 | High: 15.48 | SharesOut.: 226670521 | Beta: 0.041 | Prev.Close: 15.47 | Low: 15.44 | MarketCap: 3506592960 | VWAP: 15.465271 | Dividend: 0.037CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.697 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Canadian Dividend ETF | ZDV | Volume: 14222 | Value: 16.90 | Open: 16.98 | High: 16.98 | SharesOut.: 27050000 | Beta: 0.971 | Prev.Close: 17.03 | Low: 16.89 | MarketCap: 457145000 | VWAP: 16.946423 | Dividend: 0.063CAD | Div.Frequency: Monthly | P/ERatio: 15.900 | EPS: N/A | Yield: 4.473 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.570 | Exchange: TSX | 
BMO Canadian High Dividend Covered Call ETF | ZWC | Volume: 12153 | Value: 19.58 | Open: 19.64 | High: 19.66 | SharesOut.: 17910000 | Beta: 0.848 | Prev.Close: 19.71 | Low: 19.56 | MarketCap: 350677800 | VWAP: 19.633728 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: 16.000 | EPS: N/A | Yield: 6.231 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.990 | Exchange: TSX | 
BMO China Equity Index ETF | ZCH | Volume: 23379 | Value: 27.72 | Open: 28.16 | High: 28.22 | SharesOut.: 5017509 | Beta: 0.818 | Prev.Close: 28.34 | Low: 27.56 | MarketCap: 139085349 | VWAP: 27.883700 | Dividend: 0.145CAD | Div.Frequency: Annual | P/ERatio: 24.400 | EPS: N/A | Yield: 0.262 | Ex-DivDate: 12/27/2017 | P/BRatio: 2.230 | Exchange: TSX | 
BMO Core Plus Bond Fund | ZCPB | Volume: 4000 | Value: 30.49 | Open: 30.48 | High: 30.49 | SharesOut.: 65033 | Beta: N/A | Prev.Close: 30.45 | Low: 30.48 | MarketCap: 1982856 | VWAP: 30.485 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 1.968 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Corporate Bond Index ETF | ZCB | Volume: 0 | Value: 49.65 | Open: N/A | High: N/A | SharesOut.: 455001 | Beta: 0.916 | Prev.Close: 49.65 | Low: N/A | MarketCap: 22590800 | VWAP: N/A | Dividend: 0.400CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 3.249 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Covered Call Canadian Banks ETF | ZWB | Volume: 74374 | Value: 19.00 | Open: 19.09 | High: 19.11 | SharesOut.: 96200000 | Beta: 0.935 | Prev.Close: 19.15 | Low: 18.98 | MarketCap: 1827800000 | VWAP: 19.036304 | Dividend: 0.078CAD | Div.Frequency: Monthly | P/ERatio: 12.000 | EPS: N/A | Yield: 4.926 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.790 | Exchange: TSX | 
