Diversified Royalty Corp. | DIV | Volume: 213847 | Value: 3.07 | Open: 3.13 | High: 3.15 | SharesOut.: 107084735 | Beta: 0.377 | Prev.Close: 3.13 | Low: 3.07 | MarketCap: 328750136 | VWAP: 3.120942 | Dividend: 0.019CAD | Div.Frequency: Monthly | P/ERatio: 21.100 | EPS: 0.090000 | Yield: 7.247 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.642 | Exchange: TSX | 
Dividend 15 Split Corp. | DFN | Volume: 106277 | Value: 10.27 | Open: 10.33 | High: 10.35 | SharesOut.: 43852074 | Beta: 0.875 | Prev.Close: 10.33 | Low: 10.27 | MarketCap: 450360800 | VWAP: 10.315232 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: 7.800 | EPS: 1.330000 | Yield: 11.685 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.080 | Exchange: TSX | 
Dividend 15 Split Corp. II | DF | Volume: 51521 | Value: 5.41 | Open: 5.40 | High: 5.43 | SharesOut.: 16434214 | Beta: 2.633 | Prev.Close: 5.42 | Low: 5.40 | MarketCap: 88909098 | VWAP: 5.413191 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 5.500 | EPS: 0.990000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.963 | Exchange: TSX | 
Dividend Growth Split Corp. | DGS | Volume: 66086 | Value: 7.19 | Open: 7.22 | High: 7.23 | SharesOut.: 36850282 | Beta: 1.639 | Prev.Close: 7.21 | Low: 7.17 | MarketCap: 264953528 | VWAP: 7.197427 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: 7.000 | EPS: 1.970000 | Yield: 16.690 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.010 | Exchange: TSX | 
Dividend Select 15 Corp. | DS | Volume: 7825 | Value: 8.18 | Open: 8.23 | High: 8.23 | SharesOut.: 9883588 | Beta: 0.668 | Prev.Close: 8.25 | Low: 8.18 | MarketCap: 80847750 | VWAP: 8.202368 | Dividend: 0.069CAD | Div.Frequency: Monthly | P/ERatio: 12.000 | EPS: 0.690000 | Yield: 10.086 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.060 | Exchange: TSX | 
Dollarama Inc. | DOL | Volume: 639010 | Value: 51.48 | Open: 52.07 | High: 52.78 | SharesOut.: 327727077 | Beta: 0.254 | Prev.Close: 51.76 | Low: 51.25 | MarketCap: 16871389924 | VWAP: 51.784446 | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: 33.000 | EPS: 4.710000 | Yield: 0.311 | Ex-DivDate: 07/05/2018 | P/BRatio: -114.400 | Exchange: TSX | 
Domtar Corporation | UFS | Volume: 19574 | Value: 63.54 | Open: 63.76 | High: 63.89 | SharesOut.: 65001104 | Beta: 1.175 | Prev.Close: 63.96 | Low: 63.15 | MarketCap: 4130170148 | VWAP: 63.475181 | Dividend: 0.435USD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -5338.00 | Yield: 3.638 | Ex-DivDate: 07/02/2018 | P/BRatio: 1.204 | Exchange: TSX | 
Dorel Industries Inc. | DII.A | Volume: 0 | Value: 23.51 | Open: N/A | High: N/A | SharesOut.: 4189075 | Beta: 0.241 | Prev.Close: 23.51 | Low: N/A | MarketCap: 98485153 | VWAP: N/A | Dividend: 0.300USD | Div.Frequency: Quarterly | P/ERatio: 25.100 | EPS: 1.100000 | Yield: 6.559 | Ex-DivDate: 05/17/2018 | P/BRatio: 0.523 | Exchange: TSX | 
DoubleLine Income Solutions Trust | DSL.UN | Volume: 1000 | Value: 8.54 | Open: 8.53 | High: 8.54 | SharesOut.: 3392487 | Beta: 0.652 | Prev.Close: 8.57 | Low: 8.53 | MarketCap: 28971839 | VWAP: 8.539000 | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.12 | Yield: 7.612 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Dream Global Real Estate Investment Trust | DRG.UN | Volume: 630956 | Value: 14.29 | Open: 14.42 | High: 14.49 | SharesOut.: 191338241 | Beta: 0.368 | Prev.Close: 14.37 | Low: 14.245 | MarketCap: 2734223464 | VWAP: 14.355953 | Dividend: 0.067CAD | Div.Frequency: Monthly | P/ERatio: 6.900 | EPS: N/A | Yield: 5.599 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.108 | Exchange: TSX | 
