Sentry Select Primary Metals Corp. | PME | Volume: 12800 | Value: 2.30 | Open: 2.33 | High: 2.35 | SharesOut.: 15361411 | Beta: 1.254 | Prev.Close: 2.30 | Low: 2.29 | MarketCap: 35331245 | VWAP: 2.321328 | Dividend: 0.025CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.150000 | Yield: 13.043 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.306 | Exchange: TSX | 
Senvest Capital Inc. | SEC | Volume: 1038 | Value: 215.23 | Open: 217.01 | High: 217.06 | SharesOut.: 2704624 | Beta: 0.987 | Prev.Close: 221.66 | Low: 215.23 | MarketCap: 582116224 | VWAP: 216.66 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 5.600 | EPS: 34.50 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.613 | Exchange: TSX | 
Serabi Gold plc | SBI | Volume: 0 | Value: 1.30 | Open: N/A | High: N/A | SharesOut.: 58764072 | Beta: 1.120 | Prev.Close: 1.30 | Low: N/A | MarketCap: 76393294 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.080000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Seven Generations Energy Ltd. | VII | Volume: 4570240 | Value: 14.30 | Open: 14.03 | High: 14.62 | SharesOut.: 358166030 | Beta: 2.636 | Prev.Close: 13.90 | Low: 13.95 | MarketCap: 5121774229 | VWAP: 14.363242 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 13.500 | EPS: 1.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.134 | Exchange: TSX | 
Shaw Communications Inc. | SJR.B | Volume: 1715502 | Value: 27.74 | Open: 27.70 | High: 27.93 | SharesOut.: 480967602 | Beta: 0.809 | Prev.Close: 27.60 | Low: 27.69 | MarketCap: 13342041279 | VWAP: 27.788809 | Dividend: 0.099CAD | Div.Frequency: Monthly | P/ERatio: 24.200 | EPS: 1.130000 | Yield: 4.272 | Ex-DivDate: 08/14/2018 | P/BRatio: 2.319 | Exchange: TSX | 
ShawCor Ltd. | SCL | Volume: 74027 | Value: 25.61 | Open: 25.50 | High: 25.91 | SharesOut.: 70060651 | Beta: 1.625 | Prev.Close: 25.47 | Low: 25.46 | MarketCap: 1794253272 | VWAP: 25.652041 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 29.300 | EPS: 1.020000 | Yield: 2.343 | Ex-DivDate: 05/17/2018 | P/BRatio: 1.697 | Exchange: TSX | 
Sherritt International Corporation | S | Volume: 884404 | Value: 1.10 | Open: 1.12 | High: 1.12 | SharesOut.: 397187770 | Beta: 3.214 | Prev.Close: 1.11 | Low: 1.09 | MarketCap: 436906547 | VWAP: 1.098179 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 0.900 | EPS: 1.24 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.381 | Exchange: TSX | 
Shopify Inc. | SHOP | Volume: 471631 | Value: 193.61 | Open: 207.84 | High: 207.84 | SharesOut.: 93411037 | Beta: 0.115 | Prev.Close: 205.88 | Low: 192.02 | MarketCap: 18085310874 | VWAP: 196.455932 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.550000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 15.366 | Exchange: TSX | 
Sienna Senior Living Inc. | SIA | Volume: 95651 | Value: 16.71 | Open: 16.84 | High: 16.84 | SharesOut.: 65594834 | Beta: 0.099 | Prev.Close: 16.80 | Low: 16.68 | MarketCap: 1096089676 | VWAP: 16.745348 | Dividend: 0.075CAD | Div.Frequency: Monthly | P/ERatio: 45.400 | EPS: 0.450000 | Yield: 5.386 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.886 | Exchange: TSX | 
Sierra Metals Inc. | SMT | Volume: 300 | Value: 3.57 | Open: 3.58 | High: 3.58 | SharesOut.: 163427335 | Beta: 0.966 | Prev.Close: 3.59 | Low: 3.57 | MarketCap: 583435586 | VWAP: 3.576667 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.684 | Exchange: TSX | 
