5N Plus Inc. | VNP | Volume: 11790 | Value: 3.33 | Open: 3.26 | High: 3.35 | SharesOut.: 84251041 | Beta: 0.579 | Prev.Close: 3.30 | Low: 3.26 | MarketCap: 280555967 | VWAP: 3.318718 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 19.700 | EPS: 0.170000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.914 | Exchange: TSX | 
Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged) | VBG | Volume: 3345 | Value: 26.64 | Open: 26.55 | High: 26.64 | SharesOut.: 5650000 | Beta: 0.034 | Prev.Close: 26.59 | Low: 26.55 | MarketCap: 150516000 | VWAP: 26.583871 | Dividend: 0.013CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 1.666 | Ex-DivDate: 07/04/2018 | P/BRatio: N/A | Exchange: TSX | 
Vanguard Global Liquidity Factor ETF | VLQ | Volume: 275 | Value: 34.32 | Open: 34.28 | High: 34.32 | SharesOut.: 600000 | Beta: 1.039 | Prev.Close: 34.54 | Low: 34.28 | MarketCap: 20592000 | VWAP: 34.30 | Dividend: 2.334CAD | Div.Frequency: Annual | P/ERatio: 17.100 | EPS: N/A | Yield: 6.800 | Ex-DivDate: 12/28/2017 | P/BRatio: 1.810 | Exchange: TSX | 
Vanguard Global Minimum Volatility ETF | VVO | Volume: 1708 | Value: 30.75 | Open: 30.96 | High: 30.96 | SharesOut.: 900000 | Beta: 0.629 | Prev.Close: 30.94 | Low: 30.75 | MarketCap: 27675000 | VWAP: 30.82375 | Dividend: 1.132CAD | Div.Frequency: Annual | P/ERatio: 19.300 | EPS: N/A | Yield: 3.683 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.210 | Exchange: TSX | 
Vanguard Global Momentum Factor ETF | VMO | Volume: 2576 | Value: 35.01 | Open: 35.25 | High: 35.25 | SharesOut.: 1000000 | Beta: 0.729 | Prev.Close: 35.26 | Low: 34.91 | MarketCap: 35010000 | VWAP: 35.087917 | Dividend: 0.370CAD | Div.Frequency: Annual | P/ERatio: 19.900 | EPS: N/A | Yield: 1.057 | Ex-DivDate: 12/28/2017 | P/BRatio: 3.010 | Exchange: TSX | 
Vanguard Global Value Factor ETF | VVL | Volume: 4298 | Value: 35.91 | Open: 36.08 | High: 36.10 | SharesOut.: 2200000 | Beta: 0.941 | Prev.Close: 36.08 | Low: 35.84 | MarketCap: 79002000 | VWAP: 35.983589 | Dividend: 1.587CAD | Div.Frequency: Annual | P/ERatio: 10.800 | EPS: N/A | Yield: 4.419 | Ex-DivDate: 12/28/2017 | P/BRatio: 1.110 | Exchange: TSX | 
Vanguard Growth ETF Portfolio | VGRO | Volume: 92991 | Value: 25.02 | Open: 25.10 | High: 25.17 | SharesOut.: 11120000 | Beta: 0.507 | Prev.Close: 25.11 | Low: 24.96 | MarketCap: 278222400 | VWAP: 25.065647 | Dividend: 0.136CAD | Div.Frequency: Quarterly | P/ERatio: 16.600 | EPS: N/A | Yield: 1.721 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.000 | Exchange: TSX | 
Vanguard S&P 500 Index ETF | VFV | Volume: 126264 | Value: 64.42 | Open: 64.75 | High: 64.97 | SharesOut.: 27980000 | Beta: 0.425 | Prev.Close: 64.61 | Low: 64.18 | MarketCap: 1802471600 | VWAP: 64.484247 | Dividend: 0.261CAD | Div.Frequency: Quarterly | P/ERatio: 20.500 | EPS: N/A | Yield: 1.453 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.150 | Exchange: TSX | 
Vanguard S&P 500 Index ETF (CAD-hedged) | VSP | Volume: 17017 | Value: 47.54 | Open: 48.01 | High: 48.32 | SharesOut.: 14030000 | Beta: 0.810 | Prev.Close: 47.97 | Low: 47.51 | MarketCap: 666986200 | VWAP: 47.899605 | Dividend: 0.198CAD | Div.Frequency: Quarterly | P/ERatio: 20.500 | EPS: N/A | Yield: 1.518 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.150 | Exchange: TSX | 
Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged) | VBU | Volume: 20238 | Value: 24.23 | Open: 24.17 | High: 24.24 | SharesOut.: 9420000 | Beta: 0.047 | Prev.Close: 24.17 | Low: 24.17 | MarketCap: 228246600 | VWAP: 24.228241 | Dividend: 0.046CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.126 | Ex-DivDate: 07/04/2018 | P/BRatio: N/A | Exchange: TSX | 
Vanguard U.S. Dividend Appreciation Index ETF | VGG | Volume: 32811 | Value: 46.39 | Open: 46.94 | High: 46.94 | SharesOut.: 8430000 | Beta: 0.301 | Prev.Close: 46.56 | Low: 46.23 | MarketCap: 391067700 | VWAP: 46.360917 | Dividend: 0.196CAD | Div.Frequency: Quarterly | P/ERatio: 23.500 | EPS: -0.290000 | Yield: 1.334 | Ex-DivDate: 06/28/2018 | P/BRatio: 84.345 | Exchange: TSX | 
