CIBT Education Group Inc. | MBA | Volume: 0 | Value: 0.75 | Open: N/A | High: N/A | SharesOut.: 78878540 | Beta: -0.003 | Prev.Close: 0.75 | Low: N/A | MarketCap: 59158905 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.786 | Exchange: TSX | 
Mackenzie Canadian Short-Term Bond Index ETF | QSB | Volume: 0 | Value: 100.22 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: N/A | Prev.Close: 100.22 | Low: N/A | MarketCap: 10022000 | VWAP: N/A | Dividend: 0.172CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.074 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie Core Plus Canadian Fixed Income ETF | MKB | Volume: 7555 | Value: 20.16 | Open: 20.17 | High: 20.17 | SharesOut.: 3150000 | Beta: -0.078 | Prev.Close: 20.14 | Low: 20.16 | MarketCap: 63504000 | VWAP: 20.161333 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.451 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.110 | Exchange: TSX | 
Mackenzie Core Plus Global Fixed Income ETF | MGB | Volume: 3609 | Value: 19.53 | Open: 19.50 | High: 19.53 | SharesOut.: 7200000 | Beta: -0.076 | Prev.Close: 19.50 | Low: 19.50 | MarketCap: 140616000 | VWAP: 19.510857 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.736 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.110 | Exchange: TSX | 
Mackenzie Floating Rate Income ETF | MFT | Volume: 24215 | Value: 21.485 | Open: 21.50 | High: 21.50 | SharesOut.: 23450000 | Beta: 0.075 | Prev.Close: 21.495 | Low: 21.48 | MarketCap: 503823250 | VWAP: 21.497259 | Dividend: 0.108CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.404 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie International Equity Index ETF | QDX | Volume: 2 | Value: 99.53 | Open: 0.00 | High: 0.00 | SharesOut.: 90000 | Beta: 1.054 | Prev.Close: 99.53 | Low: 0.00 | MarketCap: 8957700 | VWAP: N/A | Dividend: 1.155CAD | Div.Frequency: Quarterly | P/ERatio: 14.800 | EPS: N/A | Yield: 2.369 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.590 | Exchange: TSX | 
Mackenzie International Equity Index ETF (CAD-Hedged) | QDXH | Volume: 0 | Value: 96.37 | Open: N/A | High: N/A | SharesOut.: 10000 | Beta: 1.800 | Prev.Close: 96.37 | Low: N/A | MarketCap: 963700 | VWAP: N/A | Dividend: 1.104CAD | Div.Frequency: Quarterly | P/ERatio: 14.800 | EPS: N/A | Yield: 2.338 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.590 | Exchange: TSX | 
Mackenzie Ivy Global Equity ETF | MIVG | Volume: 3480 | Value: 20.92 | Open: 20.92 | High: 20.92 | SharesOut.: 200000 | Beta: 0.279 | Prev.Close: 20.95 | Low: 20.92 | MarketCap: 4184000 | VWAP: 20.92 | Dividend: 0.018CAD | Div.Frequency: Annual | P/ERatio: 21.000 | EPS: N/A | Yield: 0.061 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.810 | Exchange: TSX | 
Mackenzie Master Limited Partnership | MKZ.UN | Volume: 10500 | Value: 0.98 | Open: 0.98 | High: 0.98 | SharesOut.: 6264511 | Beta: 0.800 | Prev.Close: 0.97 | Low: 0.98 | MarketCap: 6139221 | VWAP: 0.98 | Dividend: 0.140CAD | Div.Frequency: Annual | P/ERatio: 6.900 | EPS: 0.14 | Yield: 14.286 | Ex-DivDate: 12/28/2017 | P/BRatio: 7.000 | Exchange: TSX | 
Mackenzie Maximum Diversification All World Developed ex North America Index ETF | MXU | Volume: 15138 | Value: 23.17 | Open: 23.29 | High: 23.29 | SharesOut.: 4300000 | Beta: 0.094 | Prev.Close: 23.29 | Low: 23.17 | MarketCap: 99631000 | VWAP: 23.240467 | Dividend: 0.174CAD | Div.Frequency: Quarterly | P/ERatio: 16.700 | EPS: N/A | Yield: 2.075 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.850 | Exchange: TSX | 
Mackenzie Maximum Diversification All World Developed Index ETF | MWD | Volume: 57 | Value: 24.58 | Open: 0.00 | High: 0.00 | SharesOut.: 8000000 | Beta: 0.279 | Prev.Close: 24.58 | Low: 0.00 | MarketCap: 196640000 | VWAP: N/A | Dividend: 0.088CAD | Div.Frequency: Quarterly | P/ERatio: 19.200 | EPS: N/A | Yield: 0.879 | Ex-DivDate: 06/18/2018 | P/BRatio: 2.470 | Exchange: TSX | 
