Picton Mahoney Tactical Income Fund | PMB.UN | Volume: 1900 | Value: 8.39 | Open: 8.45 | High: 8.45 | SharesOut.: 7164029 | Beta: 0.232 | Prev.Close: 8.45 | Low: 8.39 | MarketCap: 60106203 | VWAP: 8.403158 | Dividend: 0.037CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.670000 | Yield: 5.221 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
PIMCO Global Income Opportunities Fund | PGI.UN | Volume: 48371 | Value: 10.31 | Open: 10.34 | High: 10.40 | SharesOut.: 44636901 | Beta: 0.473 | Prev.Close: 10.36 | Low: 10.30 | MarketCap: 460206449 | VWAP: 10.328420 | Dividend: 0.057CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 2.280000 | Yield: 6.620 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
PIMCO Investment Grade Credit Fund (Canada) | IGCF | Volume: 2134 | Value: 19.13 | Open: 19.13 | High: 19.13 | SharesOut.: 2100000 | Beta: 0.104 | Prev.Close: 19.07 | Low: 19.13 | MarketCap: 40173000 | VWAP: 19.13 | Dividend: 0.056CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.781 | Ex-DivDate: 06/21/2018 | P/BRatio: N/A | Exchange: TSX | 
PIMCO Monthly Income Fund (Canada) | PMIF | Volume: 9391 | Value: 19.59 | Open: 19.59 | High: 19.60 | SharesOut.: 31300000 | Beta: -0.003 | Prev.Close: 19.57 | Low: 19.585 | MarketCap: 613167000 | VWAP: 19.597616 | Dividend: 0.030CAD | Div.Frequency: Monthly | P/ERatio: 9.800 | EPS: N/A | Yield: 2.712 | Ex-DivDate: 06/21/2018 | P/BRatio: 0.370 | Exchange: TSX | 
Pine Cliff Energy Ltd. | PNE | Volume: 114500 | Value: 0.33 | Open: 0.335 | High: 0.335 | SharesOut.: 307075787 | Beta: 2.336 | Prev.Close: 0.33 | Low: 0.33 | MarketCap: 101335010 | VWAP: 0.331572 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.220000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.868 | Exchange: TSX | 
PineBridge Investment Grade Preferred Securities Fund | PRF.UN | Volume: 1000 | Value: 23.16 | Open: 23.17 | High: 23.17 | SharesOut.: 925001 | Beta: 0.611 | Prev.Close: 23.20 | Low: 23.16 | MarketCap: 21423023 | VWAP: 23.164 | Dividend: 0.125CAD | Div.Frequency: Monthly | P/ERatio: 5.200 | EPS: 4.490000 | Yield: 6.477 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.903 | Exchange: TSX | 
Pinetree Capital Ltd. | PNP | Volume: 300 | Value: 2.28 | Open: 2.28 | High: 2.28 | SharesOut.: 9045198 | Beta: 3.012 | Prev.Close: 2.31 | Low: 2.28 | MarketCap: 20623051 | VWAP: 2.280000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.25 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.107 | Exchange: TSX | 
Pinnacle Renewable Holdings Inc. | PL | Volume: 55898 | Value: 14.54 | Open: 14.21 | High: 14.67 | SharesOut.: 32903221 | Beta: -2.983 | Prev.Close: 14.18 | Low: 14.20 | MarketCap: 478412833 | VWAP: 14.426014 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.720000 | Yield: 2.476 | Ex-DivDate: 05/10/2018 | P/BRatio: 2.542 | Exchange: TSX | 
Pivot Technology Solutions, Inc. | PTG | Volume: 31605 | Value: 1.95 | Open: 1.94 | High: 1.96 | SharesOut.: 39906889 | Beta: -0.205 | Prev.Close: 1.93 | Low: 1.93 | MarketCap: 77818434 | VWAP: 1.948861 | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.090000 | Yield: 8.205 | Ex-DivDate: 05/30/2018 | P/BRatio: 5.270 | Exchange: TSX | 
Pizza Pizza Royalty Corp. | PZA | Volume: 30022 | Value: 12.51 | Open: 12.60 | High: 12.70 | SharesOut.: 24618392 | Beta: 0.777 | Prev.Close: 12.57 | Low: 12.42 | MarketCap: 307976084 | VWAP: 12.534674 | Dividend: 0.071CAD | Div.Frequency: Monthly | P/ERatio: 14.300 | EPS: 0.870000 | Yield: 6.839 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.074 | Exchange: TSX | 
