A&W Revenue Royalties Income Fund | AW.UN | Volume: 9475 | Value: 32.03 | Open: 32.19 | High: 32.21 | SharesOut.: 12504673 | Beta: 0.833 | Prev.Close: 31.98 | Low: 31.90 | MarketCap: 400524676 | VWAP: 32.005795 | Dividend: 0.138CAD | Div.Frequency: Monthly | P/ERatio: 17.600 | EPS: 1.820000 | Yield: 5.170 | Ex-DivDate: 05/14/2018 | P/BRatio: 3.694 | Exchange: TSX | 
Alcanna Inc. | CLIQ | Volume: 52304 | Value: 9.28 | Open: 9.70 | High: 9.70 | SharesOut.: 37047306 | Beta: 0.382 | Prev.Close: 9.50 | Low: 9.26 | MarketCap: 343799000 | VWAP: 9.386152 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.990000 | Yield: 3.879 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.202 | Exchange: TSX | 
Alderon Iron Ore Corp. | IRON | Volume: 6200 | Value: 0.33 | Open: 0.33 | High: 0.335 | SharesOut.: 133471850 | Beta: 1.603 | Prev.Close: 0.34 | Low: 0.33 | MarketCap: 44045711 | VWAP: 0.33125 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.730000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.516 | Exchange: TSX | 
Alexco Resource Corp. | AXR | Volume: 26091 | Value: 1.71 | Open: 1.75 | High: 1.75 | SharesOut.: 106943067 | Beta: 2.110 | Prev.Close: 1.72 | Low: 1.67 | MarketCap: 182872645 | VWAP: 1.691308 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.080000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.644 | Exchange: TSX | 
Algoma Central Corporation | ALC | Volume: 4700 | Value: 15.04 | Open: 15.00 | High: 15.07 | SharesOut.: 38527415 | Beta: 0.701 | Prev.Close: 15.00 | Low: 14.95 | MarketCap: 579452322 | VWAP: 15.013617 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 8.600 | EPS: 1.74 | Yield: 2.660 | Ex-DivDate: 05/17/2018 | P/BRatio: 0.888 | Exchange: TSX | 
Algonquin Power & Utilities Corp. | AQN | Volume: 1022999 | Value: 12.85 | Open: 12.90 | High: 12.94 | SharesOut.: 470638257 | Beta: 0.375 | Prev.Close: 12.85 | Low: 12.80 | MarketCap: 6047701602 | VWAP: 12.869025 | Dividend: 0.128USD | Div.Frequency: Quarterly | P/ERatio: 27.900 | EPS: 0.480000 | Yield: 4.630 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.810 | Exchange: TSX | 
Alignvest Acquisition II Corporation | AQY.A | Volume: 0 | Value: 9.78 | Open: N/A | High: N/A | SharesOut.: 40250000 | Beta: -0.139 | Prev.Close: 9.78 | Low: N/A | MarketCap: 393645000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -27.167 | Exchange: TSX | 
Alimentation Couche-Tard Inc. | ATD.A | Volume: 591 | Value: 58.07 | Open: 58.59 | High: 58.59 | SharesOut.: 132023873 | Beta: -0.550 | Prev.Close: 58.55 | Low: 58.07 | MarketCap: 7666626305 | VWAP: 58.46 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: 16.400 | EPS: 2.810000 | Yield: 0.620 | Ex-DivDate: 03/28/2018 | P/BRatio: 3.330 | Exchange: TSX | 
Alio Gold Inc. | ALO | Volume: 107808 | Value: 1.90 | Open: 1.97 | High: 1.97 | SharesOut.: 83784066 | Beta: 2.857 | Prev.Close: 1.95 | Low: 1.88 | MarketCap: 159189725 | VWAP: 1.909357 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 7.400 | EPS: 0.260000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.597 | Exchange: TSX | 
Allbanc Split Corp. II | ALB | Volume: 100 | Value: 27.25 | Open: 27.25 | High: 27.25 | SharesOut.: 1086538 | Beta: 1.726 | Prev.Close: 26.52 | Low: 27.25 | MarketCap: 29608161 | VWAP: 27.25 | Dividend: 0.140CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 1.890000 | Yield: 2.055 | Ex-DivDate: 05/14/2018 | P/BRatio: N/A | Exchange: TSX | 
Allied Properties Real Estate Investment Trust | AP.UN | Volume: 179876 | Value: 41.76 | Open: 42.23 | High: 42.34 | SharesOut.: 100262570 | Beta: 0.624 | Prev.Close: 42.28 | Low: 41.60 | MarketCap: 4186964923 | VWAP: 41.766772 | Dividend: 0.130CAD | Div.Frequency: Monthly | P/ERatio: 10.500 | EPS: 4.040000 | Yield: 3.736 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.164 | Exchange: TSX | 
