Temple Hotels Inc. | TPH | Volume: 7400 | Value: 3.01 | Open: 3.00 | High: 3.01 | SharesOut.: 25022329 | Beta: 2.077 | Prev.Close: 3.00 | Low: 2.99 | MarketCap: 75317210 | VWAP: 2.998108 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.880000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 75.250 | Exchange: TSX | 
Ten Peaks Coffee Company Inc. | TPK | Volume: 3000 | Value: 6.24 | Open: 6.23 | High: 6.26 | SharesOut.: 9061210 | Beta: -0.341 | Prev.Close: 6.23 | Low: 6.23 | MarketCap: 56541950 | VWAP: 6.252333 | Dividend: 0.063CAD | Div.Frequency: Quarterly | P/ERatio: 17.800 | EPS: 0.460000 | Yield: 4.006 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.219 | Exchange: TSX | 
TeraGo Inc. | TGO | Volume: 178180 | Value: 6.80 | Open: 6.70 | High: 6.80 | SharesOut.: 15718242 | Beta: 0.147 | Prev.Close: 6.70 | Low: 6.63 | MarketCap: 106884046 | VWAP: 6.658371 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.510000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.566 | Exchange: TSX | 
Teranga Gold Corporation | TGZ | Volume: 515557 | Value: 4.72 | Open: 5.10 | High: 5.10 | SharesOut.: 107343902 | Beta: 1.981 | Prev.Close: 5.21 | Low: 4.50 | MarketCap: 506663217 | VWAP: 4.790020 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 14.500 | EPS: 0.390000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.653 | Exchange: TSX | 
TerraVest Industries Inc. | TVK | Volume: 850 | Value: 10.01 | Open: 10.14 | High: 10.14 | SharesOut.: 17420499 | Beta: 0.437 | Prev.Close: 10.11 | Low: 10.01 | MarketCap: 174379195 | VWAP: 10.12375 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 15.800 | EPS: 0.650000 | Yield: 3.996 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.030 | Exchange: TSX | 
TFI International Inc. | TFII | Volume: 291860 | Value: 40.78 | Open: 41.12 | High: 41.12 | SharesOut.: 87683086 | Beta: 1.050 | Prev.Close: 40.99 | Low: 40.75 | MarketCap: 3575716247 | VWAP: 40.897973 | Dividend: 0.210CAD | Div.Frequency: Quarterly | P/ERatio: 19.100 | EPS: 2.140000 | Yield: 2.060 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.502 | Exchange: TSX | 
The Empire Life Insurance Company | EML.PR.A | Volume: 100 | Value: 26.08 | Open: 26.08 | High: 26.08 | SharesOut.: 5980000 | Beta: 0.342 | Prev.Close: 26.06 | Low: 26.08 | MarketCap: 155958400 | VWAP: 26.08 | Dividend: 0.359CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 5.512 | Ex-DivDate: 06/15/2018 | P/BRatio: N/A | Exchange: TSX | 
The Green Organic Dutchman Holdings Ltd. | TGOD | Volume: 1016720 | Value: 6.01 | Open: 6.53 | High: 6.58 | SharesOut.: 190611657 | Beta: N/A | Prev.Close: 6.53 | Low: 6.01 | MarketCap: 1145576059 | VWAP: 6.225546 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
The Hydropothecary Corporation | HEXO | Volume: 1618832 | Value: 4.91 | Open: 5.10 | High: 5.10 | SharesOut.: 191560223 | Beta: 3.306 | Prev.Close: 5.10 | Low: 4.80 | MarketCap: 940560695 | VWAP: 4.927550 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.260000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.050 | Exchange: TSX | 
The Intertain Group Limited | ITX | Volume: 27720 | Value: 16.55 | Open: 17.00 | High: 17.00 | SharesOut.: 19564276 | Beta: 1.149 | Prev.Close: 16.98 | Low: 16.27 | MarketCap: 323788768 | VWAP: 16.833032 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.980000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.816 | Exchange: TSX | 
The North West Company Inc. | NWC | Volume: 122184 | Value: 29.98 | Open: 29.69 | High: 30.08 | SharesOut.: 48690212 | Beta: -0.032 | Prev.Close: 29.65 | Low: 29.61 | MarketCap: 1459732556 | VWAP: 29.941125 | Dividend: 0.320CAD | Div.Frequency: Quarterly | P/ERatio: 18.900 | EPS: 1.420000 | Yield: 4.270 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.878 | Exchange: TSX | 
The Stars Group Inc. | TSGI | Volume: 1239191 | Value: 44.31 | Open: 46.07 | High: 46.39 | SharesOut.: 169516779 | Beta: 2.724 | Prev.Close: 46.19 | Low: 43.70 | MarketCap: 7511288477 | VWAP: 44.69637 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 19.600 | EPS: 2.300000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.170 | Exchange: TSX | 
