RBC U.S. Banks Yield Index ETF | RUBY | Volume: 100 | Value: 19.75 | Open: 19.75 | High: 19.75 | SharesOut.: 500000 | Beta: N/A | Prev.Close: 19.92 | Low: 19.75 | MarketCap: 9875000 | VWAP: 19.75 | Dividend: 0.023CAD | Div.Frequency: Monthly | P/ERatio: 14.200 | EPS: N/A | Yield: 1.397 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.510 | Exchange: TSX | 
Real Asset Income and Growth Fund | RAI.UN | Volume: 0 | Value: 8.13 | Open: N/A | High: N/A | SharesOut.: 1830183 | Beta: 0.879 | Prev.Close: 8.13 | Low: N/A | MarketCap: 14879388 | VWAP: N/A | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: 15.600 | EPS: 0.520000 | Yield: 6.151 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.893 | Exchange: TSX | 
Real Matters Inc. | REAL | Volume: 389737 | Value: 5.76 | Open: 5.68 | High: 5.93 | SharesOut.: 88847208 | Beta: 2.077 | Prev.Close: 5.65 | Low: 5.58 | MarketCap: 511759918 | VWAP: 5.712321 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.230000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.110 | Exchange: TSX | 
Recipe Unlimited Corporation | RECP | Volume: 36857 | Value: 28.48 | Open: 27.63 | High: 28.48 | SharesOut.: 27966723 | Beta: 1.464 | Prev.Close: 27.55 | Low: 27.595 | MarketCap: 796492271 | VWAP: 27.897082 | Dividend: 0.107CAD | Div.Frequency: Quarterly | P/ERatio: 18.900 | EPS: 1.710000 | Yield: 1.500 | Ex-DivDate: 05/30/2018 | P/BRatio: 3.797 | Exchange: TSX | 
Red Eagle Mining Corporation | R | Volume: 144585 | Value: 0.18 | Open: 0.16 | High: 0.18 | SharesOut.: 443418075 | Beta: -0.191 | Prev.Close: 0.16 | Low: 0.16 | MarketCap: 79815254 | VWAP: 0.171302 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.857 | Exchange: TSX | 
Redline Communications Group Inc. | RDL | Volume: 900 | Value: 1.70 | Open: 1.70 | High: 1.70 | SharesOut.: 17215469 | Beta: 1.042 | Prev.Close: 1.70 | Low: 1.70 | MarketCap: 29266297 | VWAP: 1.70 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.090000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.206 | Exchange: TSX | 
Redwood Global Infrastructure Income Fund | MQI.UN | Volume: 0 | Value: 9.07 | Open: N/A | High: N/A | SharesOut.: 1785907 | Beta: 0.960 | Prev.Close: 9.07 | Low: N/A | MarketCap: 16198176 | VWAP: N/A | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 1.900000 | Yield: 6.615 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
REIT INDEXPLUS Income Fund | IDR.UN | Volume: 1500 | Value: 13.24 | Open: 13.24 | High: 13.24 | SharesOut.: 4615779 | Beta: 0.438 | Prev.Close: 13.26 | Low: 13.24 | MarketCap: 61112914 | VWAP: 13.24 | Dividend: 0.065CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.230000 | Yield: 5.891 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Reitmans (Canada) Limited | RET | Volume: 2500 | Value: 4.06 | Open: 4.07 | High: 4.07 | SharesOut.: 13440000 | Beta: 0.726 | Prev.Close: 4.06 | Low: 4.06 | MarketCap: 54566400 | VWAP: 4.060800 | Dividend: 0.050CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.260000 | Yield: 4.926 | Ex-DivDate: 07/11/2018 | P/BRatio: 0.750 | Exchange: TSX | 
Resolute Forest Products Inc. | RFP | Volume: 4454 | Value: 13.39 | Open: 13.17 | High: 13.66 | SharesOut.: 90425108 | Beta: 2.132 | Prev.Close: 13.17 | Low: 13.17 | MarketCap: 1210792196 | VWAP: 13.36 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.200000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.563 | Exchange: TSX | 
