BMO Women in Leadership Fund | WOMN | Volume: 0 | Value: 20.53 | Open: N/A | High: N/A | SharesOut.: 100050 | Beta: N/A | Prev.Close: 20.53 | Low: N/A | MarketCap: 2054027 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 17.100 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.450 | Exchange: TSX | 
Western Copper and Gold Corporation | WRN | Volume: 58860 | Value: 1.10 | Open: 1.13 | High: 1.14 | SharesOut.: 99559001 | Beta: 3.292 | Prev.Close: 1.13 | Low: 1.10 | MarketCap: 109514901 | VWAP: 1.130510 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.340 | Exchange: TSX | 
Western Energy Services Corp. | WRG | Volume: 72151 | Value: 1.05 | Open: 1.08 | High: 1.10 | SharesOut.: 92179281 | Beta: 1.359 | Prev.Close: 1.06 | Low: 1.05 | MarketCap: 96788245 | VWAP: 1.075825 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.480000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.254 | Exchange: TSX | 
Western Forest Products Inc. | WEF | Volume: 485923 | Value: 2.58 | Open: 2.65 | High: 2.655 | SharesOut.: 394812657 | Beta: 0.229 | Prev.Close: 2.65 | Low: 2.58 | MarketCap: 1018616655 | VWAP: 2.595129 | Dividend: 0.023CAD | Div.Frequency: Quarterly | P/ERatio: 13.300 | EPS: 0.200000 | Yield: 3.488 | Ex-DivDate: 05/31/2018 | P/BRatio: 1.779 | Exchange: TSX | 
Western Resources Corp. | WRX | Volume: 30624 | Value: 0.395 | Open: 0.39 | High: 0.40 | SharesOut.: 93437110 | Beta: 0.439 | Prev.Close: 0.395 | Low: 0.39 | MarketCap: 36907658 | VWAP: 0.39475 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.248 | Exchange: TSX | 
WesternOne Inc. | WEQ | Volume: 1964 | Value: 1.82 | Open: 1.69 | High: 1.83 | SharesOut.: 16487344 | Beta: 0.886 | Prev.Close: 1.85 | Low: 1.69 | MarketCap: 30006966 | VWAP: 1.710526 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.430000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.480 | Exchange: TSX | 
WestJet Airlines Ltd. | WJA | Volume: 415875 | Value: 18.04 | Open: 18.34 | High: 18.59 | SharesOut.: 114072191 | Beta: 0.495 | Prev.Close: 18.23 | Low: 18.03 | MarketCap: 2057862326 | VWAP: 18.253407 | Dividend: 0.140CAD | Div.Frequency: Quarterly | P/ERatio: 7.700 | EPS: 2.370000 | Yield: 3.104 | Ex-DivDate: 06/12/2018 | P/BRatio: 0.901 | Exchange: TSX | 
Westport Fuel Systems Inc. | WPRT | Volume: 45546 | Value: 3.40 | Open: 3.44 | High: 3.54 | SharesOut.: 131279709 | Beta: 3.493 | Prev.Close: 3.43 | Low: 3.38 | MarketCap: 446351011 | VWAP: 3.453576 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.178 | Exchange: TSX | 
Westshore Terminals Investment Corporation | WTE | Volume: 166412 | Value: 23.83 | Open: 24.03 | High: 24.29 | SharesOut.: 70009450 | Beta: 1.782 | Prev.Close: 24.02 | Low: 23.75 | MarketCap: 1668325193 | VWAP: 24.017139 | Dividend: 0.160CAD | Div.Frequency: Quarterly | P/ERatio: 14.600 | EPS: N/A | Yield: 2.686 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.645 | Exchange: TSX | 
Wheaton Precious Metals Corp. | WPM | Volume: 502531 | Value: 29.03 | Open: 28.86 | High: 29.14 | SharesOut.: 443166876 | Beta: 1.957 | Prev.Close: 28.85 | Low: 28.76 | MarketCap: 12865134410 | VWAP: 28.973544 | Dividend: 0.090USD | Div.Frequency: Quarterly | P/ERatio: 150.300 | EPS: 0.660000 | Yield: 1.583 | Ex-DivDate: 05/24/2018 | P/BRatio: 1.964 | Exchange: TSX | 
Whitecap Resources Inc. | WCP | Volume: 2131516 | Value: 9.06 | Open: 8.94 | High: 9.125 | SharesOut.: 417182897 | Beta: 2.112 | Prev.Close: 8.75 | Low: 8.91 | MarketCap: 3779677047 | VWAP: 9.040147 | Dividend: 0.027CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.510000 | Yield: 3.576 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.150 | Exchange: TSX | 
Wilmington Capital Management Inc. | WCM.A | Volume: 0 | Value: 3.21 | Open: N/A | High: N/A | SharesOut.: 9169674 | Beta: 0.432 | Prev.Close: 3.21 | Low: N/A | MarketCap: 29434654 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.180000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.446 | Exchange: TSX | 
Winpak Ltd. | WPK | Volume: 49004 | Value: 43.60 | Open: 43.55 | High: 43.84 | SharesOut.: 65000000 | Beta: -0.051 | Prev.Close: 43.46 | Low: 43.39 | MarketCap: 2834000000 | VWAP: 43.601319 | Dividend: 0.030CAD | Div.Frequency: Quarterly | P/ERatio: 18.700 | EPS: 2.320000 | Yield: 0.275 | Ex-DivDate: 06/29/2018 | P/BRatio: 2.530 | Exchange: TSX | 
